number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_for_bin,params_subsample_freq,state
58,0.672449508026929,2021-08-21 14:15:08.809235,2021-08-21 14:16:34.857703,0 days 00:01:26.048468,0.4179354353500531,3,2,24,0.05943392706448457,7.941932787512671e-05,0.9809144208682817,2594,6,COMPLETE
59,0.6907042982910409,2021-08-21 14:16:34.859195,2021-08-21 14:17:58.075531,0 days 00:01:23.216336,0.4689835670369128,4,1,22,1.212960012560314,1.22774992604713e-05,0.9396683263722122,2086,6,COMPLETE
60,0.6822889694458829,2021-08-21 14:17:58.079169,2021-08-21 14:19:22.168820,0 days 00:01:24.089651,0.4583093189892979,5,1,20,6.003293623404056,1.696256023486248e-05,0.9430131959905523,2008,7,COMPLETE
61,0.6869497669601242,2021-08-21 14:19:22.170016,2021-08-21 14:20:37.617453,0 days 00:01:15.447437,0.41826069587620696,4,2,22,1.7552005448136447,6.898298545463841e-06,0.9751950673551892,1711,6,COMPLETE
62,0.6899274987053341,2021-08-21 14:20:37.619190,2021-08-21 14:22:19.309803,0 days 00:01:41.690613,0.43730869229896935,3,5,17,0.7297344345530636,0.0001761425052578194,0.9421673351616433,2431,5,COMPLETE
63,0.6897980321077162,2021-08-21 14:22:19.314660,2021-08-21 14:23:53.861929,0 days 00:01:34.547269,0.4766135432345421,3,4,25,1.4916866312259607,4.2903101733195116e-05,0.9106210479299769,1263,7,COMPLETE
64,0.6817711030554117,2021-08-21 14:23:53.863327,2021-08-21 14:25:10.461740,0 days 00:01:16.598413,0.4081859761440365,4,1,19,0.30193305331323556,5.9574465824029045e-06,0.9998585342029784,2131,6,COMPLETE
65,0.6878560331434489,2021-08-21 14:25:10.463008,2021-08-21 14:26:41.172028,0 days 00:01:30.709020,0.5113732890246809,3,26,23,5.664589225329427,1.1083944082405695e-06,0.9351282666535028,2960,4,COMPLETE
66,0.6771103055411704,2021-08-21 14:26:41.173516,2021-08-21 14:29:20.441808,0 days 00:02:39.268292,0.4587053916674708,2,3,22,2.1087083441661614,1.253379025961891e-05,0.8694198438083248,5927,6,COMPLETE
67,0.6793112377006733,2021-08-21 14:29:20.443468,2021-08-21 14:30:39.016971,0 days 00:01:18.573503,0.7499413283653311,4,6,16,0.4912625263597917,2.4215232415254966e-06,0.9701337992607456,3616,2,COMPLETE
68,0.6708959088555152,2021-08-21 14:30:39.018126,2021-08-21 14:31:56.055459,0 days 00:01:17.037333,0.9662568161260833,6,2,25,0.0008071702836061798,5.396194347118414e-05,0.9205741239682197,1964,5,COMPLETE
69,0.6851372345934749,2021-08-21 14:31:56.056736,2021-08-21 14:33:35.767813,0 days 00:01:39.711077,0.5795449554267604,3,5,26,0.8888933275590266,0.0001445011535377102,0.8909390856665237,1573,5,COMPLETE
70,0.6699896426721905,2021-08-21 14:33:35.769236,2021-08-21 14:34:40.382537,0 days 00:01:04.613301,0.6126055497172801,5,2,24,5.094735891330404e-05,1.1724856390895625e-07,0.9599216467967406,2231,7,COMPLETE
71,0.6875970999482133,2021-08-21 14:34:40.384236,2021-08-21 14:36:31.867436,0 days 00:01:51.483200,0.47749998494186374,3,4,27,3.223973481173771,0.0022450330962398703,0.8769375468294796,3733,10,COMPLETE
72,0.6837131020196789,2021-08-21 14:36:31.868605,2021-08-21 14:38:55.168403,0 days 00:02:23.299798,0.5330062529788533,3,8,28,9.368487821829351,0.00033381529323022244,0.9027172733226226,1800,6,COMPLETE
73,0.6696012428793372,2021-08-21 14:38:55.169758,2021-08-21 14:40:19.310962,0 days 00:01:24.141204,0.5585857305394887,3,7,29,1.099241687990891e-06,3.0764931281068306e-05,0.8332918302312937,3190,9,COMPLETE
74,0.6764629725530813,2021-08-21 14:40:19.312664,2021-08-21 14:42:53.032319,0 days 00:02:33.719655,0.43443352136020996,2,9,27,2.4758546116830265,0.004874128561300671,0.9315398535777802,2680,8,COMPLETE
75,0.6825479026411186,2021-08-21 14:42:53.034208,2021-08-21 14:44:31.375690,0 days 00:01:38.341482,0.5018303362197283,3,14,30,1.17740221083888,0.06844373784807749,0.8864507421410002,3488,10,COMPLETE
76,0.682936302433972,2021-08-21 14:44:31.376843,2021-08-21 14:45:59.763329,0 days 00:01:28.386486,0.46793791731876666,7,1,25,0.20358374614211902,0.021628195857840527,0.9483200630492851,3386,7,COMPLETE
77,0.6841015018125324,2021-08-21 14:45:59.764571,2021-08-21 14:47:53.288029,0 days 00:01:53.523458,0.49340322050812757,3,7,23,3.7446073205058035,0.0009536741420766979,0.9853078483286142,3945,10,COMPLETE
78,0.6718021750388399,2021-08-21 14:47:53.290189,2021-08-21 14:49:25.470081,0 days 00:01:32.179892,0.5383210375710386,3,6,21,0.107855428043508,6.789935456803559e-07,0.9146245334589125,2871,8,COMPLETE
79,0.6907042982910409,2021-08-21 14:49:25.471787,2021-08-21 14:51:01.019467,0 days 00:01:35.547680,0.5130453486760216,4,18,26,5.410903934877149,0.008284306155173185,0.8582803299974223,3106,9,COMPLETE
